State,BRANCH NAME,VillageName,Center,Customer_Name,OutStanding_Principal,Num_Days_SinceLAstDue,Bucket_Name
S2,NAN,197,15,C422,1724,0,Current (0 Days)
S2,AHM,353,15,C423,4824,0,Current (0 Days)
S2,NAN,197,92,C424,8787,0,Current (0 Days)
S2,NAN,197,92,C425,8787,0,Current (0 Days)
S2,NAN,197,92,C426,8787,0,Current (0 Days)
S2,SHI,103,86,C427,7293,0,Current (0 Days)
S2,SHI,103,86,C428,6004,0,Current (0 Days)
S2,SIL,223,41,C429,1658,0,Current (0 Days)
S2,AUR,237,67,C430,2065,0,Current (0 Days)
S2,NAI,200,42,C431,94,0,Current (0 Days)
S2,NAI,200,42,C432,695,0,Current (0 Days)
S2,NAN,197,46,C433,944,0,Current (0 Days)
S2,PAI,329,44,C434,6053,0,Current (0 Days)
S2,HAD,194,10,C435,7878,0,Current (0 Days)
S2,HAD,194,10,C436,7878,0,Current (0 Days)
S2,HAD,194,10,C437,8809,0,Current (0 Days)
S2,HAD,194,10,C438,7878,0,Current (0 Days)
S2,HAD,194,10,C439,7874,0,Current (0 Days)
S2,HAD,194,10,C440,12964,0,Current (0 Days)
S2,HAD,194,10,C441,7378,0,Current (0 Days)
S2,HAD,195,14,C442,10836,0,Current (0 Days)
S2,HAD,195,14,C443,12057,0,Current (0 Days)
S2,AMB,347,12,C444,9056,0,Current (0 Days)
S2,AMB,347,12,C445,801,0,Current (0 Days)
S2,NAI,201,10,C446,6841,0,Current (0 Days)
S2,NAI,201,10,C447,6891,0,Current (0 Days)
S2,NAI,201,16,C448,6706,0,Current (0 Days)
S2,LAT,351,46,C449,4017,0,Current (0 Days)
S2,BAD,238,14,C450,1028,0,Current (0 Days)
S2,NAI,201,16,C451,8335,0,Current (0 Days)
S2,NAI,200,19,C452,5936,0,Current (0 Days)
S2,NAI,200,19,C453,7378,0,Current (0 Days)
S2,NAI,200,19,C454,5936,0,Current (0 Days)
S2,NAI,201,16,C455,6706,0,Current (0 Days)
S2,NAI,200,19,C456,5936,0,Current (0 Days)
S2,NAI,201,18,C457,7890,0,Current (0 Days)
S2,AHM,353,99,C458,19333,0,Current (0 Days)
S2,AHM,353,99,C459,15955,0,Current (0 Days)
S2,NAN,197,13,C460,7467,0,Current (0 Days)
S2,NAN,197,13,C461,6996,0,Current (0 Days)
S2,NAN,196,46,C462,836,0,Current (0 Days)
S2,NAN,197,46,C463,177,0,Current (0 Days)
S2,HAD,195,46,C464,3108,0,Current (0 Days)
S2,LAT,352,13,C465,1481,0,Current (0 Days)
S2,HAD,195,46,C466,3108,0,Current (0 Days)
S2,NIL,355,10,C467,2176,0,Current (0 Days)
S2,AUR,238,10,C468,1705,0,Current (0 Days)
S2,AMB,349,19,C469,1540,0,Current (0 Days)
S1,BAL,517,35,C470,1099,0,Current (0 Days)
S2,AHM,353,33,C471,11012,0,Current (0 Days)
S2,AHM,353,33,C472,10085,0,Current (0 Days)
S2,NAN,196,21,C473,4330,0,Current (0 Days)
S2,NAN,202,18,C474,8589,0,Current (0 Days)
S2,BAS,213,12,C475,10023,0,Current (0 Days)
S2,BAS,213,12,C476,10710,0,Current (0 Days)
S2,BAS,213,12,C477,10710,0,Current (0 Days)
S2,SHA,278,11,C478,6098,0,Current (0 Days)
S2,AUR,242,11,C479,787,0,Current (0 Days)
S2,HAD,195,46,C480,3603,0,Current (0 Days)
S2,NAN,197,17,C481,4566,0,Current (0 Days)
S2,AHM,353,54,C482,3229,0,Current (0 Days)
S2,AHM,353,54,C483,2028,0,Current (0 Days)
S2,AHM,353,54,C484,1952,0,Current (0 Days)
S2,AHM,353,54,C485,1952,0,Current (0 Days)
S2,AHM,353,54,C486,2028,0,Current (0 Days)
S2,DHU,161,19,C487,1383,0,Current (0 Days)
S2,HAD,195,81,C488,12653,0,Current (0 Days)
S2,HAD,195,14,C489,5942,0,Current (0 Days)
S2,NAN,197,10,C490,9275,0,Current (0 Days)
S2,NAN,197,10,C491,9275,0,Current (0 Days)
S2,NAN,197,10,C492,7993,0,Current (0 Days)
S2,NAN,197,10,C493,9270,0,Current (0 Days)
S2,NAN,197,10,C494,9275,0,Current (0 Days)
S2,NAN,197,10,C495,10023,0,Current (0 Days)
S2,NAN,197,11,C496,11143,0,Current (0 Days)
S2,NAN,196,11,C497,8962,0,Current (0 Days)
S2,NAN,196,11,C498,8318,0,Current (0 Days)
S2,NAI,201,84,C499,7852,0,Current (0 Days)
S2,NAI,200,19,C500,6490,0,Current (0 Days)
S2,NAI,201,84,C501,7853,0,Current (0 Days)
S2,HAD,194,10,C502,7548,0,Current (0 Days)
S2,AHM,359,49,C503,13497,0,Current (0 Days)
S2,SHA,277,14,C504,2285,0,Current (0 Days)
S2,SHA,279,37,C505,11380,0,Current (0 Days)
S2,NAN,222,13,C506,880,0,Current (0 Days)
S2,HAD,195,81,C507,9916,0,Current (0 Days)
S2,HAD,195,20,C508,5291,0,Current (0 Days)
S2,HAD,195,81,C509,8437,0,Current (0 Days)
S2,HAD,195,20,C510,5817,0,Current (0 Days)
S2,HAD,195,81,C511,12159,0,Current (0 Days)
S2,HAD,195,81,C512,9916,0,Current (0 Days)
S2,HAD,195,20,C513,12634,0,Current (0 Days)
S2,HAD,195,81,C514,8437,0,Current (0 Days)
S2,AUR,242,37,C515,185,0,Current (0 Days)
S2,AHM,203,97,C516,5635,0,Current (0 Days)
S2,AHM,203,97,C517,5626,0,Current (0 Days)
S2,AUR,242,12,C518,2176,0,Current (0 Days)
S1,GAN,484,38,C519,5881,0,Current (0 Days)
S1,GAN,484,38,C520,5881,0,Current (0 Days)
S1,GAN,484,38,C521,5878,0,Current (0 Days)
S1,GAN,484,38,C522,5881,0,Current (0 Days)
S1,GAN,484,38,C523,5878,0,Current (0 Days)
S1,HOS,736,41,C524,6334,0,Current (0 Days)
S1,HOS,515,33,C525,6346,0,Current (0 Days)
S1,HOS,515,33,C526,6346,0,Current (0 Days)
S1,HOS,515,33,C527,6346,0,Current (0 Days)
S2,HAD,179,21,C528,4865,0,Current (0 Days)
S2,HAD,195,24,C529,5177,0,Current (0 Days)
S2,AHM,203,16,C530,4502,0,Current (0 Days)
S2,HAD,195,46,C531,4492,0,Current (0 Days)
S2,HAD,194,31,C532,6919,0,Current (0 Days)
S2,HAD,179,22,C533,8275,0,Current (0 Days)
S2,HAD,194,40,C534,4525,0,Current (0 Days)
S2,HAD,179,22,C535,5212,0,Current (0 Days)
S2,NAI,201,43,C536,6675,0,Current (0 Days)
S1,SIN,479,53,C537,6837,0,Current (0 Days)
S1,SIN,479,53,C538,6837,0,Current (0 Days)
S1,SIN,479,61,C539,6837,0,Current (0 Days)
S1,GAN,736,56,C540,6789,0,Current (0 Days)
S1,GAN,736,56,C541,6783,0,Current (0 Days)
S1,GAN,736,56,C542,6789,0,Current (0 Days)
S1,GAN,736,56,C543,6789,0,Current (0 Days)
S1,GAN,736,56,C544,6787,0,Current (0 Days)
S1,GAN,484,48,C545,6786,0,Current (0 Days)
S1,GAN,484,48,C546,6789,0,Current (0 Days)
S1,GAN,484,48,C547,6789,0,Current (0 Days)
S1,GAN,484,48,C548,6789,0,Current (0 Days)
S1,HOS,515,33,C549,6836,0,Current (0 Days)
S2,HAD,194,40,C550,6888,0,Current (0 Days)
S2,HAD,194,31,C551,6929,0,Current (0 Days)
S2,HAD,194,40,C552,6929,0,Current (0 Days)
S1,SHI,552,91,C553,6843,0,Current (0 Days)
S1,SHI,552,91,C554,6843,0,Current (0 Days)
S1,SHI,552,91,C555,6843,0,Current (0 Days)
S1,SHI,737,61,C556,6835,0,Current (0 Days)
S1,SHI,737,61,C557,6835,0,Current (0 Days)
S2,HAD,179,22,C558,5212,0,Current (0 Days)
S1,HOS,736,46,C559,7259,0,Current (0 Days)
S1,HOS,736,46,C560,7259,0,Current (0 Days)
S1,GAN,484,28,C561,7260,0,Current (0 Days)
S1,SIN,479,84,C562,6842,0,Current (0 Days)
S1,SIN,479,84,C563,6842,0,Current (0 Days)
S1,SIN,479,84,C564,6842,0,Current (0 Days)
S1,SIN,479,84,C565,6842,0,Current (0 Days)
S1,SIN,736,79,C566,6842,0,Current (0 Days)
S1,HOS,736,46,C567,7259,0,Current (0 Days)
S1,HOS,735,55,C568,7294,0,Current (0 Days)
S1,GAN,515,81,C569,7474,0,Current (0 Days)
S1,GAN,515,81,C570,6843,0,Current (0 Days)
S2,HAD,180,42,C571,7615,0,Current (0 Days)
S2,HAD,195,14,C572,5203,0,Current (0 Days)
S1,GAN,485,12,C573,7908,0,Current (0 Days)
S2,HAD,195,39,C574,8801,0,Current (0 Days)
S1,BAL,517,41,C575,2454,0,Current (0 Days)
S1,GAN,484,28,C576,7260,0,Current (0 Days)
S1,SAN,662,47,C577,2203,0,Current (0 Days)
S1,SIN,479,64,C578,7704,0,Current (0 Days)
S1,SIN,479,64,C579,7704,0,Current (0 Days)
S1,SIN,479,64,C580,7704,0,Current (0 Days)
S1,HOS,515,33,C581,7757,0,Current (0 Days)
S2,AHM,353,15,C582,7750,0,Current (0 Days)
S5,DAL,743,53,C583,41,0,Current (0 Days)
S2,NAN,196,23,C584,7723,0,Current (0 Days)
S2,NAN,196,23,C585,7723,0,Current (0 Days)
S2,NAN,196,23,C586,7716,0,Current (0 Days)
S2,NAN,196,23,C587,7723,0,Current (0 Days)
S2,HAD,194,27,C588,5565,0,Current (0 Days)
S2,HAD,194,27,C589,5565,0,Current (0 Days)
S2,HAD,194,27,C590,5534,0,Current (0 Days)
